hour,is_weekend,avg_speed,road_type,distance_km,congestion
12,0,15.86,0,5.2,1.0
12,0,64.74,2,1.03,0.333
13,0,65.23,2,1.86,0.298
13,0,16.26,0,1.46,0.848
13,0,32.93,1,8.97,1.0
14,0,29.8,0,1.31,0.62
14,0,29.79,0,9.5,1.0
14,0,39.63,1,7.23,0.94
15,0,32.22,1,9.11,1.0
15,0,58.1,2,2.91,0.499
15,0,26.16,0,8.32,1.0
16,0,69.24,2,6.04,0.364
16,0,29.45,0,2.62,0.721
16,0,15.65,0,9.71,1.0
17,0,55.06,2,9.23,1.0
17,0,60.46,2,9.71,1.0
17,0,63.94,2,9.96,1.0
18,0,50.91,2,9.06,1.0
18,0,17.82,0,3.14,1.0
18,0,34.59,1,4.19,1.0
19,0,60.72,2,7.13,0.881
19,0,24.04,0,4.41,1.0
19,0,69.0,2,8.31,0.883
20,0,21.27,0,6.33,1.0
20,0,61.88,2,1.93,0.299
20,0,66.58,2,4.23,0.345
21,0,19.1,0,4.44,0.989
21,0,66.26,2,8.71,0.683
21,0,20.67,0,7.69,1.0
22,0,16.94,0,4.78,1.0
22,0,45.14,1,8.84,0.904
22,0,32.27,1,3.9,0.804
23,0,36.16,1,8.4,1.0
23,0,23.41,0,5.74,0.982
23,0,65.1,2,0.77,0.273
0,0,27.08,0,6.57,1.0
0,0,41.8,1,3.83,0.709
0,0,31.82,1,5.77,0.909
1,0,20.95,0,7.94,1.0
1,0,63.95,2,5.47,0.465
1,0,18.87,0,5.18,1.0
2,0,22.39,0,9.81,1.0
2,0,52.58,2,1.22,0.332
2,0,58.01,2,6.06,0.532
3,0,22.11,0,9.02,1.0
3,0,24.03,0,9.74,1.0
3,0,33.54,1,3.15,0.712
4,0,23.02,0,5.71,1.0
4,0,25.36,0,5.28,0.933
4,0,22.22,0,1.38,0.797
5,0,51.22,2,9.25,0.921
5,0,31.69,1,8.75,1.0
5,0,59.69,2,4.02,0.457
6,0,40.63,1,7.72,0.866
6,0,64.27,2,2.9,0.348
6,0,64.99,2,8.52,0.555
7,0,17.73,0,7.51,1.0
7,0,54.23,2,3.56,0.461
7,0,22.11,0,3.76,0.894
8,0,39.97,1,8.0,1.0
8,0,41.73,1,5.8,1.0
8,0,56.75,2,4.1,0.857
9,0,69.73,2,3.88,0.715
9,0,15.11,0,9.37,1.0
9,0,35.7,1,2.27,0.954
10,0,66.85,2,1.03,0.575
10,0,66.34,2,8.72,1.0
10,0,25.84,0,5.16,1.0
11,0,55.6,2,5.93,0.643
11,0,19.86,0,2.28,0.88
11,0,25.61,0,5.53,0.82
12,0,41.62,1,3.24,0.638
12,0,57.38,2,6.14,0.529
12,0,40.98,1,5.71,0.805
13,0,15.04,0,1.82,0.852
13,0,22.07,0,6.16,0.943
13,0,26.19,0,8.58,1.0
14,0,44.62,1,1.68,0.531
14,0,45.63,1,0.96,0.47
14,0,54.03,2,8.06,0.711
15,0,24.51,0,2.74,0.815
15,0,47.54,1,3.91,0.661
15,0,67.99,2,7.28,0.494
16,0,26.21,0,3.36,0.761
16,0,22.98,0,4.22,0.925
16,0,24.36,0,9.11,1.0
17,0,59.91,2,8.85,1.0
17,0,45.77,1,8.99,1.0
17,0,17.15,0,7.9,1.0
18,0,39.88,1,7.28,1.0
18,0,27.7,0,1.55,1.0
18,0,53.0,2,8.07,1.0
19,0,41.97,1,0.62,0.81
19,0,36.91,1,2.89,0.944
19,0,62.3,2,3.24,0.808
20,0,40.12,1,6.07,0.792
20,0,61.3,2,9.36,0.704
20,0,25.61,0,9.26,1.0
21,0,31.55,1,1.15,0.606
21,0,48.51,1,9.38,0.813
21,0,17.79,0,2.07,0.875
22,0,67.4,2,9.25,0.747
22,0,26.16,0,4.1,0.904
22,0,30.09,1,8.13,0.98
23,0,28.84,0,8.7,0.992
23,0,64.75,2,3.8,0.305
23,0,53.53,2,1.84,0.41
0,0,50.68,2,2.07,0.522
0,0,50.26,2,6.51,0.662
0,0,29.63,0,5.39,1.0
1,0,49.94,1,1.31,0.36
1,0,19.65,0,3.35,0.854
1,0,59.36,2,3.82,0.353
2,0,22.08,0,0.85,0.731
2,0,40.55,1,7.28,0.863
2,0,38.02,1,4.69,0.7
3,0,16.13,0,3.68,0.992
3,0,55.41,2,4.05,0.454
3,0,66.8,2,9.8,0.743
4,0,50.54,2,6.76,0.671
4,0,61.9,2,5.3,0.455
4,0,17.68,0,8.1,1.0
5,0,49.77,1,8.15,0.821
5,0,37.94,1,8.39,0.891
5,0,51.74,2,3.58,0.563
6,0,34.16,1,1.31,0.555
6,0,42.5,1,9.15,1.0
6,0,57.59,2,2.96,0.35
7,0,26.61,0,3.78,0.887
7,0,19.42,0,4.64,1.0
7,0,22.69,0,5.11,0.97
8,0,24.5,0,5.65,1.0
8,0,52.65,2,4.51,0.896
8,0,19.08,0,2.13,1.0
9,0,38.1,1,1.14,0.882
9,0,34.13,1,8.38,1.0
9,0,23.6,0,5.2,1.0
10,0,20.75,0,4.48,1.0
10,0,31.66,1,7.51,1.0
10,0,57.79,2,2.83,0.723
11,0,24.16,0,7.35,0.998
11,0,43.27,1,5.02,0.715
11,0,23.1,0,3.06,0.873
12,0,51.03,2,6.15,0.798
12,0,39.48,1,6.42,0.823
12,0,25.92,0,1.21,0.835
13,0,31.52,1,4.87,0.847
13,0,43.89,1,8.09,0.887
13,0,66.15,2,3.49,0.269
14,0,29.25,0,1.8,0.658
14,0,45.17,1,9.6,0.904
14,0,63.18,2,8.16,0.66
15,0,24.7,0,9.08,1.0
15,0,68.88,2,9.88,0.674
15,0,44.62,1,1.64,0.531
16,0,69.42,2,9.28,0.594
16,0,39.1,1,1.02,0.596
16,0,50.74,2,8.37,0.714
17,0,25.44,0,1.23,1.0
17,0,31.31,1,7.39,1.0
17,0,26.07,0,6.79,1.0
18,0,24.24,0,8.92,1.0
18,0,50.19,2,1.17,0.834
18,0,21.03,0,7.79,1.0
19,0,51.83,2,4.28,0.898
19,0,64.75,2,4.5,0.745
19,0,47.06,1,3.32,0.914
20,0,30.84,1,2.72,0.654
20,0,65.73,2,9.52,0.594
20,0,69.65,2,6.09,0.446
21,0,33.34,1,6.33,0.946
21,0,66.76,2,4.32,0.412
21,0,33.53,1,2.69,0.69
22,0,49.15,1,0.85,0.452
22,0,47.68,1,9.71,0.915
22,0,60.5,2,6.17,0.558
23,0,33.08,1,7.11,0.857
23,0,54.48,2,2.63,0.569
23,0,39.15,1,8.67,0.991
0,0,59.53,2,3.09,0.407
0,0,16.3,0,5.73,1.0
0,0,63.91,2,0.55,0.231
1,0,25.25,0,2.59,0.782
1,0,15.92,0,9.92,1.0
1,0,56.96,2,8.33,0.756
2,0,47.29,1,5.67,0.7
2,0,17.41,0,1.99,0.969
2,0,25.46,0,8.45,1.0
3,0,47.63,1,2.3,0.596
3,0,15.44,0,8.78,1.0
3,0,68.17,2,2.67,0.289
4,0,46.64,1,8.27,0.819
4,0,29.72,0,6.36,0.947
4,0,20.65,0,1.6,0.802
5,0,69.26,2,5.64,0.383
5,0,53.59,2,4.23,0.58
5,0,33.33,1,9.5,1.0
6,0,39.47,1,7.23,0.839
6,0,65.17,2,1.74,0.368
6,0,66.43,2,1.12,0.283
7,0,58.92,2,6.99,0.59
7,0,48.89,1,4.95,0.701
7,0,51.65,2,2.6,0.49
8,0,32.63,1,2.69,0.984
8,0,34.6,1,8.99,1.0
8,0,28.02,0,2.4,1.0
9,0,53.71,2,9.7,1.0
9,0,17.3,0,1.37,1.0
9,0,52.62,2,6.45,0.891
10,0,29.51,0,9.16,1.0
10,0,32.5,1,1.61,0.957
10,0,22.37,0,2.4,1.0
11,0,21.5,0,6.11,1.0
11,0,21.97,0,1.92,0.775
11,0,55.83,2,6.2,0.693
12,0,29.29,0,7.69,1.0
12,0,54.84,2,1.5,0.413
12,0,15.28,0,5.92,1.0
13,0,15.15,0,5.82,1.0
13,0,16.32,0,5.42,1.0
13,0,32.65,1,4.27,0.801
14,0,63.86,2,2.41,0.34
14,0,15.47,0,7.21,1.0
14,0,42.26,1,6.36,0.808
15,0,45.67,1,6.44,0.743
15,0,51.6,2,8.24,0.773
15,0,39.62,1,7.95,0.95
16,0,64.63,2,5.5,0.435
16,0,19.94,0,6.35,1.0
16,0,33.64,1,3.7,0.795
17,0,50.42,2,2.04,0.878
17,0,69.93,2,2.67,0.611
17,0,34.41,1,4.33,1.0
18,0,35.15,1,0.79,1.0
18,0,66.92,2,4.45,0.73
18,0,20.57,0,3.79,1.0
19,0,39.73,1,7.39,1.0
19,0,45.86,1,6.18,1.0
19,0,62.63,2,6.42,0.82
20,0,65.52,2,2.74,0.401
20,0,49.43,1,2.76,0.443
20,0,51.38,2,4.42,0.534
21,0,22.72,0,4.73,0.946
21,0,16.43,0,6.79,1.0
21,0,30.18,1,8.65,1.0
22,0,16.96,0,7.85,1.0
22,0,58.84,2,8.9,0.733
22,0,43.39,1,4.76,0.688
23,0,55.05,2,9.51,0.73
23,0,30.73,1,2.09,0.763
23,0,25.58,0,7.93,1.0
0,1,54.12,2,8.75,0.645
0,1,34.62,1,1.67,0.523
0,1,32.44,1,0.87,0.575
1,1,23.77,0,1.48,0.673
1,1,39.6,1,4.28,0.542
1,1,63.34,2,5.14,0.391
2,1,56.16,2,0.78,0.19
2,1,53.77,2,2.04,0.362
2,1,58.88,2,6.89,0.499
3,1,49.57,1,6.79,0.63
3,1,59.94,2,6.99,0.548
3,1,28.96,0,0.79,0.593
4,1,42.01,1,9.23,0.878
4,1,49.99,1,6.75,0.703
4,1,47.33,1,3.52,0.471
5,1,58.08,2,8.85,0.591
5,1,38.76,1,9.29,0.92
5,1,23.17,0,1.64,0.673
6,1,24.45,0,3.62,0.834
6,1,58.97,2,4.19,0.474
6,1,21.67,0,5.68,0.915
7,1,45.19,1,6.6,0.654
7,1,27.95,0,4.11,0.631
7,1,16.63,0,8.23,1.0
8,1,23.7,0,4.29,1.0
8,1,64.36,2,8.22,0.893
8,1,66.45,2,5.45,0.738
9,1,18.65,0,9.03,1.0
9,1,53.94,2,4.11,0.711
9,1,35.14,1,5.12,1.0
10,1,46.06,1,3.42,0.75
10,1,35.45,1,7.3,1.0
10,1,33.62,1,1.66,0.864
11,1,19.43,0,2.25,0.797
11,1,18.85,0,5.89,0.958
11,1,57.47,2,8.25,0.622
12,1,29.27,0,6.51,0.92
12,1,45.87,1,6.14,0.653
12,1,58.22,2,6.3,0.425
13,1,25.98,0,3.37,0.709
13,1,51.91,2,6.84,0.551
13,1,34.7,1,1.95,0.671
14,1,40.71,1,4.99,0.613
14,1,60.93,2,6.27,0.405
14,1,42.64,1,2.94,0.547
15,1,38.56,1,4.34,0.558
15,1,50.32,2,7.38,0.692
15,1,48.11,1,3.7,0.458
16,1,16.28,0,1.25,0.704
16,1,21.64,0,6.36,0.912
16,1,31.4,1,6.86,0.783
17,1,34.62,1,6.96,1.0
17,1,43.39,1,3.66,0.974
17,1,41.61,1,3.67,0.934
18,1,33.51,1,9.6,1.0
18,1,39.01,1,1.42,0.865
18,1,29.72,0,3.36,0.93
19,1,53.05,2,4.29,0.777
19,1,26.53,0,7.5,1.0
19,1,45.76,1,2.94,0.767
20,1,22.6,0,6.28,0.917
20,1,16.31,0,3.92,0.872
20,1,60.19,2,2.77,0.259
21,1,40.31,1,6.21,0.747
21,1,61.49,2,7.97,0.43
21,1,60.79,2,4.27,0.415
22,1,28.17,0,4.12,0.767
22,1,51.62,2,3.39,0.441
22,1,17.31,0,0.72,0.755
23,1,47.24,1,1.76,0.403
23,1,62.13,2,5.13,0.347
23,1,66.5,2,9.55,0.573
0,1,16.02,0,3.99,0.902
0,1,28.14,0,9.4,1.0
0,1,24.61,0,1.5,0.695
1,1,51.23,2,1.94,0.293
1,1,54.24,2,2.32,0.42
1,1,69.67,2,7.1,0.379
2,1,51.49,2,2.12,0.327
2,1,51.25,2,7.08,0.656
2,1,54.65,2,2.67,0.321
3,1,32.61,1,4.55,0.694
3,1,53.89,2,4.77,0.406
3,1,37.74,1,2.18,0.447
4,1,21.24,0,0.6,0.645
4,1,63.62,2,6.03,0.406
4,1,56.47,2,6.38,0.534
5,1,29.39,0,8.11,0.992
5,1,23.22,0,1.54,0.747
5,1,52.54,2,1.92,0.331
6,1,44.75,1,3.58,0.405
6,1,26.78,0,4.86,0.786
6,1,16.53,0,1.76,0.805
7,1,35.09,1,4.66,0.703
7,1,35.06,1,9.34,0.958
7,1,67.9,2,6.76,0.415
8,1,16.0,0,6.33,1.0
8,1,15.72,0,4.71,1.0
8,1,24.89,0,7.59,1.0
9,1,26.06,0,9.59,1.0
9,1,49.83,1,4.89,0.841
9,1,43.21,1,1.43,0.841
10,1,31.64,1,0.7,0.92
10,1,30.21,1,6.84,1.0
10,1,31.39,1,2.98,1.0
11,1,65.97,2,9.7,0.589
11,1,62.04,2,9.81,0.691
11,1,36.77,1,1.72,0.552
12,1,37.44,1,2.63,0.477
12,1,19.11,0,2.05,0.667
12,1,22.44,0,6.92,0.905
13,1,68.38,2,8.54,0.529
13,1,34.42,1,6.54,0.732
13,1,65.06,2,3.54,0.275
14,1,15.65,0,9.41,1.0
14,1,69.3,2,1.37,0.098
14,1,66.81,2,5.31,0.346
15,1,24.18,0,7.56,1.0
15,1,43.78,1,5.87,0.663
15,1,21.92,0,2.02,0.772
16,1,28.22,0,7.55,0.882
16,1,36.22,1,6.75,0.754
16,1,24.24,0,7.46,0.944
17,1,22.86,0,5.62,1.0
17,1,30.71,1,7.73,1.0
17,1,43.57,1,7.71,1.0
18,1,59.41,2,8.5,0.879
18,1,64.44,2,4.76,0.683
18,1,37.83,1,6.13,1.0
19,1,17.5,0,0.78,1.0
19,1,21.03,0,4.18,1.0
19,1,61.6,2,1.12,0.59
20,1,51.06,2,7.18,0.746
20,1,66.5,2,3.06,0.205
20,1,17.23,0,6.55,1.0
21,1,45.77,1,7.22,0.731
21,1,52.95,2,4.68,0.436
21,1,31.25,1,4.03,0.617
22,1,64.67,2,7.78,0.437
22,1,45.71,1,6.54,0.629
22,1,69.82,2,7.02,0.421
23,1,33.69,1,6.08,0.827
23,1,17.48,0,9.81,1.0
23,1,40.36,1,3.09,0.634
0,0,15.84,0,7.93,1.0
0,0,17.79,0,8.5,1.0
0,0,29.06,0,4.63,0.914
1,0,39.93,1,7.42,0.943
1,0,15.11,0,7.91,1.0
1,0,16.03,0,9.59,1.0
2,0,35.23,1,3.18,0.736
2,0,45.19,1,3.08,0.578
2,0,35.36,1,8.53,0.993
3,0,68.13,2,1.1,0.195
3,0,19.73,0,3.79,0.934
3,0,63.28,2,0.71,0.25
4,0,57.87,2,8.88,0.745
4,0,49.63,1,7.44,0.78
4,0,44.5,1,1.88,0.51
5,0,62.17,2,9.73,0.656
5,0,15.33,0,2.24,0.89
5,0,23.42,0,8.58,1.0
6,0,18.41,0,9.81,1.0
6,0,60.87,2,7.22,0.486
6,0,46.94,1,2.65,0.491
7,0,43.38,1,8.57,0.876
7,0,39.2,1,8.69,0.902
7,0,66.13,2,5.37,0.492
8,0,45.88,1,9.79,1.0
8,0,19.95,0,2.06,1.0
8,0,30.36,1,7.66,1.0
9,0,39.02,1,2.77,0.959
9,0,41.16,1,7.63,1.0
9,0,60.77,2,9.14,1.0
10,0,63.14,2,1.5,0.615
10,0,53.91,2,4.69,0.968
10,0,37.13,1,1.39,0.915
11,0,53.92,2,6.61,0.703
11,0,33.16,1,5.56,0.913
11,0,57.26,2,6.33,0.633
12,0,69.67,2,3.13,0.269
12,0,27.31,0,7.46,1.0
12,0,24.23,0,4.68,0.932
13,0,29.76,0,4.47,0.922
13,0,19.85,0,7.39,1.0
13,0,22.91,0,5.82,1.0
14,0,18.15,0,8.32,1.0
14,0,28.77,0,3.32,0.802
14,0,36.29,1,7.25,0.975
15,0,22.41,0,3.9,0.909
15,0,60.51,2,8.86,0.664
15,0,34.8,1,1.46,0.623
16,0,39.01,1,3.81,0.741
16,0,46.12,1,7.51,0.862
16,0,42.68,1,9.8,0.975
17,0,30.08,1,3.49,1.0
17,0,67.11,2,2.16,0.648
17,0,56.81,2,1.23,0.678
18,0,36.11,1,5.37,1.0
18,0,34.66,1,9.08,1.0
18,0,24.97,0,7.99,1.0
19,0,53.38,2,0.5,0.696
19,0,39.21,1,4.75,1.0
19,0,66.05,2,4.42,0.801
20,0,50.84,2,4.51,0.607
20,0,64.15,2,1.71,0.293
20,0,45.08,1,9.15,0.939
21,0,52.25,2,8.79,0.76
21,0,31.37,1,1.64,0.605
21,0,35.94,1,6.18,0.886
22,0,61.98,2,7.44,0.579
22,0,33.71,1,8.98,1.0
22,0,66.76,2,5.55,0.415
23,0,67.11,2,9.96,0.574
23,0,55.05,2,6.76,0.647
23,0,28.64,0,1.39,0.635
0,0,67.58,2,8.38,0.607
0,0,68.21,2,1.28,0.346
0,0,42.04,1,7.85,0.86
1,0,23.88,0,6.5,1.0
1,0,25.15,0,6.58,0.996
1,0,18.94,0,9.72,1.0
2,0,49.68,1,4.99,0.597
2,0,37.24,1,2.92,0.603
2,0,32.8,1,0.93,0.626
3,0,35.61,1,6.3,0.767
3,0,15.08,0,5.41,1.0
3,0,20.95,0,2.58,0.838
4,0,37.94,1,9.35,1.0
4,0,22.61,0,3.78,0.869
4,0,25.13,0,0.78,0.722
5,0,57.89,2,3.11,0.402
5,0,68.15,2,4.4,0.407
5,0,29.33,0,8.33,1.0
6,0,47.26,1,7.35,0.758
6,0,43.25,1,8.1,0.893
6,0,21.28,0,1.65,0.81
7,0,45.0,1,3.55,0.619
7,0,43.57,1,6.85,0.857
7,0,32.78,1,5.27,0.767
8,0,28.11,0,6.32,1.0
8,0,46.58,1,5.53,1.0
8,0,30.23,1,1.85,0.98
9,0,20.99,0,1.3,1.0
9,0,23.38,0,1.67,1.0
9,0,20.81,0,1.14,1.0
10,0,63.46,2,4.58,0.739
10,0,34.53,1,6.11,1.0
10,0,61.59,2,4.78,0.801
11,0,57.42,2,6.03,0.595
11,0,20.89,0,0.76,0.847
11,0,15.67,0,6.63,1.0
12,0,17.32,0,3.79,0.975
12,0,51.43,2,3.74,0.536
12,0,32.03,1,6.16,0.913
13,0,43.77,1,4.81,0.753
13,0,18.43,0,9.73,1.0
13,0,15.58,0,4.15,1.0
14,0,38.28,1,9.29,0.906
14,0,19.34,0,4.86,0.956
14,0,20.56,0,8.44,1.0
15,0,46.53,1,6.23,0.615
15,0,24.1,0,1.34,0.765
15,0,26.43,0,5.65,0.972
16,0,57.12,2,8.47,0.736
16,0,36.85,1,1.05,0.634
16,0,23.37,0,9.68,1.0
17,0,24.39,0,4.72,1.0
17,0,65.65,2,2.47,0.608
17,0,42.41,1,5.91,1.0
18,0,17.22,0,7.44,1.0
18,0,49.28,1,2.66,0.905
18,0,20.3,0,6.19,1.0
19,0,32.5,1,8.01,1.0
19,0,22.0,0,6.97,1.0
19,0,37.51,1,6.09,1.0
20,0,41.25,1,5.46,0.862
20,0,25.89,0,3.94,0.816
20,0,21.11,0,9.82,1.0
21,0,54.01,2,9.58,0.836
21,0,15.05,0,1.06,0.796
21,0,55.12,2,3.46,0.532
22,0,24.4,0,5.35,1.0
22,0,60.54,2,8.78,0.67
22,0,46.4,1,6.62,0.812
23,0,30.18,1,9.6,1.0
23,0,69.89,2,2.41,0.24
23,0,17.14,0,7.53,1.0
0,0,27.14,0,8.31,1.0
0,0,59.75,2,1.34,0.354
0,0,43.75,1,3.16,0.717
1,0,16.08,0,9.5,1.0
1,0,28.03,0,1.46,0.687
1,0,44.14,1,8.05,0.867
2,0,38.06,1,1.19,0.534
2,0,55.85,2,4.31,0.479
2,0,30.44,1,3.03,0.828
3,0,29.68,0,6.58,0.972
3,0,21.24,0,2.54,0.826
3,0,58.99,2,5.28,0.556
4,0,41.09,1,8.3,0.923
4,0,46.45,1,7.28,0.894
4,0,60.4,2,5.75,0.552
5,0,33.17,1,4.31,0.776
5,0,42.59,1,1.77,0.525
5,0,31.25,1,7.22,0.971
6,0,36.81,1,4.94,0.796
6,0,45.78,1,3.48,0.549
6,0,58.45,2,9.46,0.772
7,0,63.74,2,1.35,0.262
7,0,48.6,1,5.86,0.709
7,0,64.26,2,2.09,0.346
8,0,19.18,0,2.24,1.0
8,0,16.58,0,3.33,1.0
8,0,69.99,2,6.53,0.801
9,0,58.65,2,5.25,0.831
9,0,62.69,2,1.55,0.63
9,0,27.76,0,8.31,1.0
10,0,22.08,0,6.74,1.0
10,0,15.54,0,7.66,1.0
10,0,24.77,0,1.8,1.0
11,0,22.02,0,6.98,1.0
11,0,19.31,0,8.96,1.0
11,0,40.88,1,7.93,0.877
12,0,50.29,2,8.44,0.717
12,0,48.98,1,7.24,0.693
12,0,58.09,2,5.18,0.654
13,0,29.45,0,4.91,0.917
13,0,36.24,1,6.94,0.93
13,0,41.51,1,8.64,0.949
14,0,46.14,1,7.82,0.796
14,0,26.09,0,3.75,0.833
14,0,57.43,2,3.81,0.481
15,0,60.94,2,6.92,0.587
15,0,19.37,0,6.26,1.0
15,0,68.75,2,7.25,0.483
16,0,44.95,1,5.1,0.658
16,0,34.78,1,9.91,1.0
16,0,41.23,1,6.62,0.782
17,0,32.82,1,2.36,1.0
17,0,36.3,1,8.55,1.0
17,0,55.2,2,6.9,1.0
18,0,20.06,0,9.5,1.0
18,0,51.24,2,7.22,1.0
18,0,22.46,0,9.34,1.0
19,0,40.01,1,2.8,0.954
19,0,24.31,0,9.64,1.0
19,0,53.31,2,0.92,0.739
20,0,28.47,0,5.07,0.856
20,0,67.08,2,8.03,0.583
20,0,42.73,1,1.53,0.413
21,0,61.39,2,9.82,0.721
21,0,68.39,2,4.86,0.363
21,0,33.8,1,9.82,1.0
22,0,57.1,2,7.46,0.617
22,0,37.86,1,9.69,1.0
22,0,44.37,1,5.03,0.733
23,0,69.2,2,7.92,0.466
23,0,39.98,1,7.83,0.923
23,0,30.92,1,8.15,1.0
0,0,46.96,1,3.56,0.567
0,0,21.04,0,2.84,0.892
0,0,28.52,0,0.5,0.668
1,0,20.58,0,7.73,1.0
1,0,15.87,0,0.81,0.757
1,0,18.77,0,7.98,1.0
2,0,24.85,0,3.91,0.849
2,0,15.41,0,9.76,1.0
2,0,50.78,2,2.6,0.475
3,0,25.79,0,4.6,0.942
3,0,56.53,2,4.56,0.512
3,0,68.93,2,8.99,0.597
4,0,26.71,0,4.48,0.872
4,0,17.79,0,6.12,0.91
4,0,50.66,2,6.14,0.605
5,0,40.14,1,9.44,1.0
5,0,66.53,2,1.4,0.206
5,0,59.27,2,5.4,0.59
6,0,21.38,0,3.18,0.926
6,0,18.01,0,7.37,1.0
6,0,56.08,2,3.39,0.502
7,0,65.18,2,4.45,0.35
7,0,36.51,1,3.38,0.756
7,0,36.74,1,1.69,0.654
8,0,69.7,2,8.16,0.857
8,0,20.71,0,1.92,1.0
8,0,64.19,2,5.67,0.855
9,0,24.43,0,3.05,1.0
9,0,42.03,1,3.02,1.0
9,0,26.71,0,5.82,1.0
10,0,57.39,2,5.33,0.953
10,0,52.44,2,8.13,1.0
10,0,47.23,1,7.43,1.0
11,0,18.2,0,1.85,0.834
11,0,25.52,0,8.64,1.0
11,0,56.24,2,5.72,0.667
12,0,45.72,1,2.05,0.495
12,0,52.49,2,7.93,0.813
12,0,49.41,1,7.19,0.666
13,0,64.12,2,5.26,0.444
13,0,15.78,0,9.69,1.0
13,0,49.23,1,1.63,0.468
14,0,37.93,1,5.75,0.789
14,0,66.33,2,3.51,0.303
14,0,18.76,0,8.07,1.0
15,0,50.24,2,9.11,0.924
15,0,19.31,0,5.71,0.993
15,0,21.46,0,9.38,1.0
16,0,34.94,1,6.25,0.842
16,0,19.99,0,7.01,1.0
16,0,37.63,1,2.45,0.624
17,0,65.02,2,4.47,0.778
17,0,29.12,0,3.59,1.0
17,0,32.27,1,9.72,1.0
